duration,language,movie_id,production_country,rank,release_date,title,type1,type2,type3
101,法语 / 拉丁语,34938508,法国,7.1,2021-07-12,布鲁诺·里德尔，杀人犯的自白 Bruno Reidal,剧情,传记,犯罪
138,法语,35212084,法国,7.7,2021-11-24,人间世事 Les Choses humaines,剧情,,
81,英语,34955909,美国,7.8,2021-08-23,猎魔人：狼之噩梦 The Witcher: Nightmare of the Wolf,动作,动画,奇幻
100,日语,35438008,日本,9.2,2021-04-29,再见了所有的福音战士！庵野秀明的1214日～ さようなら全てのエヴァンゲリオン～庵野秀明の1214日～,纪录片,,
90,英语,30400539,美国,6.5,2021-09-11,罪人 The Guilty,剧情,惊悚,犯罪
110,俄语,35573989,俄罗斯,6.9,2021-11-18,天空 Небо,剧情,传记,战争
121,日语,35235504,日本,7.1,2021-11-06,她喜欢的是 彼女が好きなものは,爱情,同性,
24,日语,35234383,日本,8.2,2021-05-19,辉夜大小姐想让我告白：天才们的恋爱头脑战 OVA かぐや様は告らせたい？～天才たちの恋愛頭脳戦～ OVA,喜剧,爱情,动画
94,汉语普通话,35043784,中国大陆,4.1,2021-06-12,射雕英雄传之降龙十八掌,动作,武侠,古装
139,日语,35311473,日本,6.9,2021-08-20,孤狼之血2 孤狼の血 LEVEL2,剧情,犯罪,
156,英语 / 意大利语,25735492,意大利 / 荷兰 / 德国 / 比利时,9.2,2021-09-10,音魂掠影 Ennio: The Maestro,纪录片,音乐,传记
117,日语,35059062,日本,5.3,2021-02-05,树海村 樹海村,剧情,恐怖,
88,英语,35324548,美国,6.3,2021-02-27,地牢女孩 Girl in the Basement,剧情,犯罪,
119,日语,35196793,日本,6.6,2021-06-01,狂赌之渊 电影版2 映画 賭ケグルイ 絶体絶命ロシアンルーレット,喜剧,,
120,日语,34973557,日本,6.7,2021-07-09,东京复仇者 東京リベンジャーズ,动作,奇幻,
86,汉语普通话 / 闽南语,35427435,中国台湾,7.1,2021-04-18,弓蕉园的秘密 弓蕉園的秘密,剧情,同性,
145,俄语,33447881,俄罗斯 / 法国 / 德国 / 瑞士,7.6,2021-07-12,彼得罗夫的流感 Петровы в гриппе,剧情,,
23,英语,35663181,美国,8.1,2021-11-22,外星也难民：圣诞特别篇 A Very Solar Holiday Opposites Special,喜剧,科幻,动画
93,英语,35442414,英国,6.3,2021-06-11,我的朋友都恨我 All My Friends Hate Me,喜剧,恐怖,
109,法语 / 汉语普通话 / 英语,35209755,法国,7.2,2021-07-14,奥林匹亚街区 Les Olympiades,剧情,喜剧,爱情
125,法语,35390972,法国,7.4,2021-10-20,粘在一起的隔离 8 Rue de l'Humanité,喜剧,,
103,挪威语,35358700,挪威,7.8,2021-01-18,忍者宝宝 Ninjababy,剧情,喜剧,
15,英语,35656154,美国,8.9,2021-11-12,回忆太清晰 All Too Well: The Short Film,短片,音乐,
99,英语,35252049,美国,5.1,2021-11-05,危险境地 Dangerous,动作,惊悚,
84,汉语普通话,35132915,中国大陆,5.3,2021-08-20,水怪2：黑木林,悬疑,惊悚,
93,粤语 / 汉语普通话,30359446,中国香港 / 中国澳门,5.6,2021-10-28,马达·莲娜 馬達·蓮娜,剧情,爱情,
102,英语,34788061,美国,6.2,2021-12-10,欢喜冤家 The Hating Game,喜剧,爱情,
138,韩语,35441797,韩国,6.2,2021-12-29,新年快乐 해피뉴이어,剧情,爱情,
116,日语,35358434,日本,6.3,2021-12-31,黎明时分的年轻人们 明け方の若者たち,剧情,爱情,
97,意大利语,35546073,意大利,6.6,2021-09-07,小圣人 La santa piccola,剧情,同性,
16,无对白,35546131,智利,7.7,2021-06-14,兽性 Bestia,动画,短片,
112,法语,34954371,法国,7.2,2021-03-03,美味奇缘 Délicieux,剧情,喜剧,历史
125,日语,34963486,日本,7.2,2021-08-06,电影之神 キネマの神様,剧情,,
105,泰语,35498673,泰国,7.8,2021-06-09,"数到十就亲亲你 特别篇 Lovely Writer: 2 years later, 2gether or not?",剧情,喜剧,爱情
30,韩语,35588335,韩国,8.2,2021-10-14,去海边 피터팬의 꿈,短片,同性,
136,泰语,34913315,中国香港 / 泰国,5.5,2021-01-28,一杯上路 One For The Road,剧情,,
104,粤语 / 汉语普通话,35307509,中国香港,5.5,2021-04-11,不日成婚,喜剧,爱情,
106,英语,30364978,美国,5.7,2021-09-05,蒙娜丽莎与血月亮 Mona Lisa and the Blood Moon,悬疑,惊悚,奇幻
86,英语,35045591,美国 / 加拿大,7.2,2022-01-14,汪汪队立大功大电影 Paw Patrol: The Movie,喜剧,动画,冒险
107,日语,34990918,日本,7.3,2021-09-23,空白,剧情,,
126,英语,30464264,美国,7.3,2021-02-12,犹大与黑弥赛亚 Judas and the Black Messiah,剧情,传记,历史
104,日语,34984521,日本,7.4,2021-01-08,银魂：最终篇 银魂 THE FINAL,喜剧,动画,
108,日语,35202921,日本,7.5,2021-10-29,让我聆听爱的歌声 アイの歌声を聴かせて,科幻,动画,音乐
164,印地语 / 英语 / 俄语,34940621,印度,7.8,2021-10-16,印度刺客：萨达尔·辛格 Sardar Udham,剧情,传记,历史
97,日语,35634039,日本,8.1,2021-12-17,假面骑士：超越世代 仮面ライダー ビヨンド・ジェネレーションズ,剧情,动作,科幻
89,英语,35377036,美国,8.5,2021-03-24,渔业阴谋 Seaspiracy,纪录片,,
120,日语,34950968,日本,9.0,2021-06-04,少女☆歌剧 Revue Starlight 剧场版 劇場版 少女☆歌劇 レヴュースタァライト,动画,奇幻,
91,汉语普通话,26734686,中国大陆 / 韩国,4.3,2021-05-18,我爱喵星人,喜剧,爱情,奇幻
53,英语,35281773,美国,6.5,2021-01-01,极简主义：时机已到 The Minimalists: Less Is Now,纪录片,,
95,英语,26935358,美国 / 加拿大,6.6,2021-11-05,蜜熊的音乐奇旅 Vivo,动画,音乐,冒险
108,英语 / 葡萄牙语,35327050,英国,7.7,2021-02-23,球王贝利：巴西足球传奇 Pelé,纪录片,运动,
88,英语,35651968,美国,9.4,2021-11-14,阿黛尔此夜唯一演唱会 Adele One Night Only,纪录片,音乐,真人秀
92,汉语普通话,35296157,中国大陆,3.9,2021-01-07,狂鼠列车,剧情,动作,悬疑
85,汉语普通话,35312343,中国大陆,4.8,2021-10-14,戏法师,奇幻,,
98,汉语普通话,35575615,中国台湾,5.6,2021-12-24,不想一个人,剧情,,
77,英语,35557589,英国 / 美国,5.7,2021-09-11,行车记录仪 DASHCAM,恐怖,奇幻,冒险
94,粤语,32579254,中国香港,5.8,2022-02-22,只属于我们的一天 給我1天,剧情,爱情,
